Player,Rating,Season
James Rodriguez,7.80,17-18
Robert Lewandowski,7.63,17-18
Daniel Caligiuri,7.57,17-18
Thiago Alcántara,7.52,17-18
Arturo Vidal,7.46,17-18
Arjen Robben,7.44,17-18
Lars Bender,7.43,17-18
Thomas Müller,7.42,17-18
Joshua Kimmich,7.38,17-18
Serge Gnabry,7.38,17-18
Naldo,7.36,17-18
Kingsley Coman,7.34,17-18
Mats Hummels,7.32,17-18
Franck Ribéry,7.28,17-18
Lukasz Piszczek,7.26,17-18
Bastian Oczipka,7.26,17-18
Salif Sané,7.25,17-18
Naby Keita,7.22,17-18
Corentin Tolisso,7.18,17-18
Jérome Boateng,7.17,17-18
Thilo Kehrer,7.17,17-18
Benjamin Hübner,7.16,17-18
Pirmin Schwegler,7.16,17-18
Javier Martinez,7.16,17-18
Nuri Sahin,7.15,17-18
Leon Bailey,7.15,17-18
Marcel Sabitzer,7.14,17-18
Thorgan Hazard,7.14,17-18
Rafinha,7.12,17-18
Amine Harit,7.11,17-18
Thomas Delaney,7.08,17-18
Lars Stindl,7.06,17-18
Michael Gregoritsch,7.05,17-18
Kevin Kampl,7.05,17-18
Maximilian Philipp,7.05,17-18
David Alaba,7.04,17-18
Dayot Upamecano,7.03,17-18
Diego Demme,7.02,17-18
Philipp Max,7.02,17-18
Marius Wolf,7.02,17-18
Ömer Toprak,7.01,17-18
Mario Götze,7.00,17-18
Shinji Kagawa,7.00,17-18
Alfred Finnbogason,7.00,17-18
Sokratis Papastathopoulos,6.98,17-18
Leon Goretzka,6.98,17-18
Florian Grillitsch,6.98,17-18
Sebastian Rudy,6.98,17-18
Max Kruse,6.97,17-18
Timo Baumgartl,6.97,17-18
Charles Aránguiz,6.97,17-18
Jonas Hector,6.97,17-18
Benjamin Stambouli,6.97,17-18
Douglas Santos,6.97,17-18
Christoph Kramer,6.97,17-18
Raffael,6.96,17-18
Kai Havertz,6.96,17-18
Daniel Opare,6.96,17-18
Julian Brandt,6.95,17-18
