Player,Rating,Season
Lionel Messi,8.58,17-18
Cristiano Ronaldo,8.03,17-18
Luis Suárez,7.84,17-18
Filipe Luis,7.71,17-18
Toni Kroos,7.69,17-18
Iago Aspas,7.69,17-18
Daniel Parejo,7.55,17-18
Gareth Bale,7.55,17-18
Casemiro,7.49,17-18
Jonathan Viera,7.45,17-18
Antoine Griezmann,7.45,17-18
Sergio Busquets,7.44,17-18
Luka Modric,7.44,17-18
Lucas Hernández,7.43,17-18
Jordi Alba,7.39,17-18
Sergi Roberto,7.39,17-18
Fabián Ruiz,7.38,17-18
Asier Illarramendi,7.36,17-18
Saul Niguez,7.30,17-18
Geoffrey Kondogbia,7.30,17-18
Isco,7.27,17-18
José Gayà,7.25,17-18
Ivan Rakitic,7.24,17-18
Andrés Iniesta,7.23,17-18
Marco Asensio,7.23,17-18
Goncalo Guedes,7.21,17-18
Thomas Partey,7.20,17-18
Sergio Ramos,7.20,17-18
Éver Banega,7.20,17-18
Martin Montoya,7.20,17-18
Álex Granell,7.19,17-18
Marcelo,7.18,17-18
Samuel Umtiti,7.17,17-18
Xabier Prieto,7.16,17-18
Rodri,7.15,17-18
Mario Gaspar,7.11,17-18
Daniel Carvajal,7.11,17-18
Joaquin,7.11,17-18
Djené,7.10,17-18
Gerard Piqué,7.09,17-18
Koke,7.07,17-18
Rodrigo,7.06,17-18
Gerard Moreno,7.06,17-18
José Ángel,7.05,17-18
Carlos Bacca,7.05,17-18
Sergio Escudero,7.05,17-18
Sime Vrsaljko,7.04,17-18
Raul Garcia,7.03,17-18
Jefferson Lerma,7.02,17-18
Pablo Fornals,7.02,17-18
Martin Aguirregabiria,7.02,17-18
José Giménez,7.01,17-18
Karim Benzema,7.01,17-18
Manuel Trigueros,7.01,17-18
Daniel Wass,7.00,17-18
Diego Godin,7.00,17-18
Joseba Zaldua,6.99,17-18
Andrés Guardado,6.99,17-18
Gabriel Paulista,6.99,17-18
Borja Garcia,6.98,17-18
Guido Pizarro,6.98,17-18
Diego Rico,6.98,17-18
Rubén Pérez,6.98,17-18
Gabriel,6.97,17-18
Aritz Elustondo,6.97,17-18
Luisinho,6.96,17-18
Steven Nzonzi,6.96,17-18
Aymeric Laporte,6.95,17-18
Juan Cala,6.95,17-18
José Campana,6.95,17-18
Paulinho,6.95,17-18
Cristhian Stuani,6.94,17-18
Pablo Maffeo,6.94,17-18
Willian José,6.94,17-18
Samuel Castillejo,6.94,17-18
Hugo Mallo,6.94,17-18
Sergi Darder,6.92,17-18
Jaume Costa,6.91,17-18
Damian Suarez,6.91,17-18
José Luis Morales,6.91,17-18
Sergio Canales,6.91,17-18
Jan Oblak,6.90,17-18
Maximiliano Gomez,6.90,17-18
Lucas Vázquez,6.90,17-18
Mikel Oyarzabal,6.90,17-18
Victor Sánchez,6.90,17-18
Jonny,6.90,17-18
Federico Nicolas Cartabia,6.89,17-18
Pione Sisto,6.89,17-18
Nélson Semedo,6.89,17-18
Lucas Pérez,6.89,17-18
Nacho Fernandez,6.88,17-18
Dani Garcia,6.88,17-18
Manu Garcia,6.87,17-18
Inigo Martinez,6.86,17-18
Cristian Tello,6.86,17-18
Anaitz Arbilla,6.86,17-18
Faycal Fajr,6.84,17-18
Raphaël Varane,6.84,17-18
Unai Nunez,6.83,17-18
