Player,Rating,Season
Neymar,8.90,17-18
Florian Thauvin,8.01,17-18
Nabil Fekir,7.93,17-18
Édinson Cavani,7.80,17-18
Dimitri Payet,7.59,17-18
Houssem Aouar,7.59,17-18
Kylian Mbappé,7.56,17-18
Ángel Di Maria,7.55,17-18
Fabinho,7.54,17-18
Dani Alves,7.53,17-18
Malcom,7.48,17-18
Bertrand Traoré,7.48,17-18
Naim Sliti,7.45,17-18
Memphis Depay,7.41,17-18
Rémy Cabella,7.40,17-18
Marco Verratti,7.39,17-18
Tanguy Ndombélé,7.39,17-18
Mario Balotelli,7.39,17-18
Yuri Berchiche,7.34,17-18
Nordi Mukiele,7.29,17-18
Jorge,7.25,17-18
Ellyes Skhiri,7.24,17-18
Allan Saint-Maximin,7.24,17-18
Joao Moutinho,7.22,17-18
Maxime Poundjé,7.22,17-18
Kevin Malcuit,7.22,17-18
Djibril Sidibé,7.21,17-18
Bouna Sarr,7.20,17-18
Thomas Lemar,7.19,17-18
Luiz Gustavo,7.19,17-18
Jean Michael Seri,7.18,17-18
Adrien Rabiot,7.17,17-18
Jérome Roussillon,7.17,17-18
Alassane Plea,7.15,17-18
Hamari Traoré,7.15,17-18
Giovani Lo Celso,7.14,17-18
Dimitri Liénard,7.14,17-18
Thomas Meunier,7.13,17-18
Javier Pastore,7.12,17-18
Léo Dubois,7.12,17-18
Ruben Aguilar,7.12,17-18
Ferland Mendy,7.12,17-18
Sylvio Ronny Rodelin,7.11,17-18
Julian Draxler,7.09,17-18
Yassine Benzia,7.09,17-18
Benjamin Bourigeaud,7.08,17-18
Youssouf Sabaly,7.08,17-18
Mathieu Dossevi,7.07,17-18
Mariano Diaz,7.07,17-18
Jordan Amavi,7.07,17-18
Benjamin André,7.07,17-18
Julio Tavarès,7.06,17-18
Kamil Glik,7.06,17-18
Radamel Falcao,7.06,17-18
Pierre Lees-Melou,7.03,17-18
Layvin Kurzawa,7.03,17-18
Yannis Salibur,7.03,17-18
Ramy Bensebaini,7.02,17-18
Marcelo,7.02,17-18
Paul Lasne,7.00,17-18
Ibrahim Sangaré,6.99,17-18
Rafael,6.99,17-18
Andre-Frank Zambo Anguissa,6.99,17-18
Rony Lopes,6.99,17-18
Wahbi Khazri,6.98,17-18
Hilton,6.98,17-18
Keita Baldé,6.98,17-18
Max-Alain Gradel,6.97,17-18
Arnaud Souquet,6.96,17-18
Lucas Ocampos,6.96,17-18
Thiago Silva,6.96,17-18
Morgan Sanson,6.95,17-18
Giannelli Imbula,6.95,17-18
Presnel Kimpembe,6.95,17-18
Thomas Mangani,6.95,17-18
Abdoulaye Touré,6.94,17-18
Thiago Mendes,6.94,17-18
Ole Kristian Selnæs,6.94,17-18
Daniel Congré,6.93,17-18
Loic Perrin,6.93,17-18
Lucas Lima,6.92,17-18
Yves Bissouma,6.92,17-18
Ismaila Sarr,6.91,17-18
Maxime Le Marchand,6.91,17-18
Papy Djilobodji,6.91,17-18
Pedro Mendes,6.90,17-18
Frédéric Guilbert,6.90,17-18
Kenny Lala,6.89,17-18
Thiago Motta,6.88,17-18
Lukas Lerager,6.88,17-18
Adrien Tamèze,6.88,17-18
Yoann Andreu,6.87,17-18
Diego Carlos,6.87,17-18
Alexander Djiku,6.87,17-18
Hiroki Sakai,6.86,17-18
Ernest Seka,6.86,17-18
Adil Rami,6.86,17-18
Youri Tielemans,6.86,17-18
Fouad Chafik,6.86,17-18
Adama Mbengue,6.85,17-18
Marquinhos,6.85,17-18
Otávio,6.85,17-18
Mustapha Diallo,6.84,17-18
Karl Toko Ekambi,6.84,17-18
Bakaye Dibassy,6.83,17-18
Flavien Tait,6.83,17-18
Lucas Tousart,6.82,17-18
Thomas Monconduit,6.82,17-18
Renaud Cohade,6.82,17-18
Clinton N'Jie,6.81,17-18
Chang-Hoon Kwon,6.81,17-18
Jean Aholou,6.81,17-18
Sanjin Prcic,6.81,17-18
