Player,Rating,Season
Eden Hazard,7.93,17-18
David Silva,7.91,17-18
Kevin De Bruyne,7.89,17-18
Paul Pogba,7.83,17-18
Sergio Agüero,7.79,17-18
Mohamed Salah,7.76,17-18
Leroy Sané,7.72,17-18
Raheem Sterling,7.70,17-18
Mesut Özil,7.61,17-18
Harry Kane,7.54,17-18
Fernandinho,7.53,17-18
Alexis Sánchez,7.51,17-18
Sadio Mané,7.50,17-18
Christian Eriksen,7.41,17-18
Fabian Delph,7.40,17-18
Emre Can,7.38,17-18
Ben Davies,7.36,17-18
N'Golo Kanté,7.36,17-18
Jan Vertonghen,7.36,17-18
Kyle Walker,7.35,17-18
Aaron Ramsey,7.34,17-18
Cesc Fàbregas,7.32,17-18
Willian,7.31,17-18
Wilfried Zaha,7.26,17-18
Nemanja Matic,7.23,17-18
Kieran Trippier,7.22,17-18
Riyad Mahrez,7.22,17-18
Virgil van Dijk,7.22,17-18
Joseph Gomez,7.22,17-18
Nicolás Otamendi,7.21,17-18
Ruben Loftus-Cheek,7.20,17-18
Danilo,7.19,17-18
César Azpilicueta,7.19,17-18
Shkodran Mustafi,7.19,17-18
Marcos Alonso,7.17,17-18
Ashley Young,7.17,17-18
Romelu Lukaku,7.17,17-18
Manuel Lanzini,7.17,17-18
Gabriel Jesus,7.16,17-18
Chris Smalling,7.16,17-18
Granit Xhaka,7.15,17-18
Andros Townsend,7.14,17-18
Harry Maguire,7.14,17-18
Andrew Robertson,7.14,17-18
Jordan Henderson,7.12,17-18
Antonio Valencia,7.11,17-18
James Tarkowski,7.11,17-18
James Tomkins,7.10,17-18
Bernardo Silva,7.10,17-18
Roberto Firmino,7.09,17-18
Juan Mata,7.08,17-18
Dele Alli,7.07,17-18
Marko Arnautovic,7.07,17-18
Wilfred Ndidi,7.06,17-18
Kurt Zouma,7.05,17-18
Phil Jones,7.05,17-18
Alex Iwobi,7.04,17-18
Heung-Min Son,7.04,17-18
Dejan Lovren,7.03,17-18
Idrissa Gana Gueye,7.03,17-18
Nacho Monreal,7.02,17-18
Arthur Masuaku,7.02,17-18
Luka Milivojevic,7.02,17-18
Alexandre Lacazette,7.02,17-18
Henrikh Mkhitaryan,7.02,17-18
Kiko,7.01,17-18
Christopher Schindler,7.00,17-18
Jesse Lingard,7.00,17-18
Alex Oxlade-Chamberlain,7.00,17-18
Ilkay Gündogan,7.00,17-18
Jamaal Lascelles,6.99,17-18
Laurent Koscielny,6.99,17-18
Eric Dier,6.98,17-18
Jack Wilshere,6.98,17-18
Abdoulaye Doucouré,6.98,17-18
Sead Kolasinac,6.98,17-18
Stephen Ward,6.97,17-18
Johann Berg Gudmundsson,6.97,17-18
Jamie Vardy,6.97,17-18
Álvaro Morata,6.97,17-18
Wesley Hoedt,6.96,17-18
Joel Matip,6.96,17-18
Xherdan Shaqiri,6.96,17-18
Victor Moses,6.95,17-18
Mario Lemina,6.95,17-18
Mousa Dembélé,6.94,17-18
Chris Brunt,6.94,17-18
Ben Mee,6.93,17-18
Ryan Shawcross,6.92,17-18
Georginio Wijnaldum,6.91,17-18
James Milner,6.91,17-18
Florian Lejeune,6.90,17-18
Tiemoué Bakayoko,6.89,17-18
Shane Duffy,6.88,17-18
Davinson Sánchez,6.88,17-18
Oriol Romeu,6.88,17-18
Marc Albrighton,6.88,17-18
Matthew Lowton,6.87,17-18
Ryan Fraser,6.86,17-18
Anthony Knockaert,6.84,17-18
