Player,Rating,Season
Lorenzo Insigne,7.83,17-18
Paulo Dybala,7.81,17-18
Alejandro Gomez,7.80,17-18
Luis Alberto,7.67,17-18
Aleksandar Kolarov,7.62,17-18
Douglas Costa,7.61,17-18
Juan Cuadrado,7.54,17-18
Alex Sandro,7.52,17-18
Ciro Immobile,7.48,17-18
José Maria Callejon,7.44,17-18
Ivan Perisic,7.42,17-18
Miralem Pjanic,7.42,17-18
Adem Ljajic,7.40,17-18
Federico Fazio,7.39,17-18
Mauro Icardi,7.38,17-18
Josip Ilicic,7.37,17-18
Lucas Torreira,7.36,17-18
Jorginho,7.32,17-18
Lucas Leiva,7.31,17-18
Radja Nainggolan,7.30,17-18
Dries Mertens,7.29,17-18
Suso,7.28,17-18
Edin Dzeko,7.27,17-18
Simone Verdi,7.26,17-18
Sergej Milinkovic-Savic,7.26,17-18
Gonzalo Higuain,7.25,17-18
Felipe Anderson,7.23,17-18
Diego Perotti,7.22,17-18
Kalidou Koulibaly,7.22,17-18
Medhi Benatia,7.21,17-18
Joao Cancelo,7.20,17-18
Marcelo Brozovic,7.20,17-18
Giorgio Chiellini,7.19,17-18
Milan Badelj,7.19,17-18
Davide Calabria,7.18,17-18
Federico Viviani,7.18,17-18
Allan,7.18,17-18
Hakan Calhanoglu,7.17,17-18
Antonio Candreva,7.17,17-18
Giacomo Bonaventura,7.16,17-18
Marek Hamsik,7.15,17-18
Raul Albiol,7.15,17-18
Lucas Nahuel Castro,7.14,17-18
Remo Freuler,7.14,17-18
Jordan Veretout,7.13,17-18
Milan Skriniar,7.12,17-18
Iago Falqué,7.12,17-18
Fabio Quagliarella,7.12,17-18
Davide Astori,7.09,17-18
Nicolo Barella,7.09,17-18
Daniele De Rossi,7.08,17-18
Dennis Praet,7.08,17-18
Danilo D'Ambrosio,7.08,17-18
Andrea Masiello,7.08,17-18
Federico Chiesa,7.07,17-18
Stephan El Shaarawy,7.07,17-18
Luca Ceppitelli,7.06,17-18
Robin Gosens,7.06,17-18
Rafael Toloi,7.04,17-18
Mario Rui,7.04,17-18
Lucas Biglia,7.03,17-18
Ali Adnan,7.03,17-18
Kwadwo Asamoah,7.03,17-18
Mario Mandzukic,7.02,17-18
Senad Lulic,7.02,17-18
Lorenzo Pellegrini,7.01,17-18
Stefan Daniel Radu,6.98,17-18
Mirco Antenucci,6.98,17-18
Marco Parolo,6.97,17-18
Alessandro Florenzi,6.97,17-18
Sami Khedira,6.97,17-18
Bryan Cristante,6.97,17-18
Paolo Farago,6.96,17-18
Alisson Becker,6.96,17-18
Rolando Mandragora,6.96,17-18
Cyril Théréau,6.96,17-18
Cristiano Biraghi,6.96,17-18
Lorenzo De Silvestri,6.95,17-18
Matteo Politano,6.95,17-18
Timothy Castagne,6.94,17-18
Vitor Hugo,6.93,17-18
Cristian Daniel Ansaldi,6.93,17-18
Piotr Zielinski,6.92,17-18
Alberto Grassi,6.92,17-18
Konstantinos Manolas,6.92,17-18
Roberto Gagliardini,6.91,17-18
Daniele Rugani,6.91,17-18
Cristian Molinaro,6.91,17-18
Marco Davide Faraoni,6.91,17-18
Germán Pezzella,6.90,17-18
Mattia Caldara,6.89,17-18
Francesco Acerbi,6.89,17-18
Bastos,6.89,17-18
Manuel Lazzari,6.88,17-18
Simone Missiroli,6.88,17-18
Elseid Hysaj,6.88,17-18
Stefan de Vrij,6.88,17-18
Erick Pulgar,6.87,17-18
