Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Aaron Connolly,-0.003,0.002,-0.005,1.72,2000,19.0,Premier League,Brighton,Ireland,ST,RW,10.6,6.1,28.7,-9.2,0.5,0.8,0.7,38.6,13.7,0.0
Aaron Cresswell,0.009,0.006,0.004,3.97,1989,29.0,Premier League,West Ham,England,LB,CB,8.9,11.7,25.7,2.5,1.2,1.0,2.4,52.4,15.7,0.0
Aaron Lennon,0.004,-0.002,0.006,0.7,1987,32.0,Premier League,Burnley,England,RM,LM,9.3,9.1,25.2,-5.8,1.3,1.3,0.9,43.8,13.2,0.0
Aaron Leya Iseka,-0.025,-0.011,-0.014,0.93,1997,21.0,Ligue 1,Toulouse,Belgium,ST,"LW, LM, RM",12.0,7.5,26.9,-16.1,0.7,0.6,0.8,45.1,14.2,0.0
Aaron Meijers,-0.113,-0.055,-0.057,1.12,1987,31.0,Eredivisie,ADO Den Haag,Netherlands,LB,"LW, LM",9.9,11.8,29.1,1.1,1.3,1.7,2.7,53.0,18.2,0.0
Aaron Mooy,-0.004,-0.011,0.007,2.83,1990,28.0,Premier League,Brighton,Australia,AM,"RW, DM, LW, LM, RM, CM",13.5,13.7,26.2,-6.6,1.1,1.1,2.7,43.6,16.4,0.0
Aaron Ramsdale,0.031,0.005,0.026,5.4,1998,21.0,Premier League,Bournemouth,England,GK,,3.1,2.6,32.1,-5.8,0.3,0.3,0.5,55.7,11.4,1.7
Aaron Ramsey,0.067,0.049,0.018,2.53,1990,28.0,"UCL, Serie A",Juventus,Wales,AM,"LM, RM, CM",13.4,9.5,20.1,-3.1,1.1,1.3,0.6,53.4,15.8,0.0
Aaron Tshibola,-0.052,-0.05,-0.002,0.81,1995,24.0,Belgian Pro League,"Waasland-Beveren, Aves",DR Congo,CM,"DM, LM, RM",8.5,10.5,21.3,-7.3,1.0,1.0,0.7,51.6,12.5,0.0
Aaron Wan-Bissaka,0.076,0.02,0.055,6.04,1997,21.0,"Premier League, UEL",Manchester United,England,RB,WB,6.8,9.1,21.7,-9.2,2.0,2.3,0.4,43.9,14.1,0.0
Aarón Escandell,0.014,0.016,-0.003,0.4,1995,23.0,La Liga,Granada,Spain,GK,,9.1,7.8,26.0,-5.8,0.9,0.9,1.0,50.0,14.2,0.9
Aarón Martín,-0.022,-0.008,-0.014,2.19,1997,22.0,Bundesliga,Mainz 05,Spain,LB,"LM, WB",8.6,8.8,26.0,-7.3,1.5,0.9,4.1,45.3,14.3,0.0
Abass Issah,-0.008,-0.008,0.001,1.11,1998,20.0,Eredivisie,Utrecht,Ghana,ST,"LW, LM",9.5,6.7,28.8,-10.0,0.9,1.2,0.8,42.4,13.8,0.0
Abdallah N'dour,-0.017,-0.016,-0.001,0.46,1993,25.0,Ligue 1,Strasbourg,Senegal,WB,LB,10.1,8.8,25.0,-5.8,1.1,1.1,1.3,50.0,14.7,0.0
Abdelhamid Sabiri,-0.051,-0.028,-0.023,1.04,1996,22.0,Bundesliga,Paderborn 07,Morocco,CM,"AM, DM, ST, LM",13.5,9.4,25.0,-1.9,1.0,1.3,3.3,52.3,15.5,0.0
Abdou Diallo,0.077,0.031,0.046,2.35,1996,23.0,"UCL, Ligue 1",Paris Saint-Germain,Senegal,CB,LB,5.5,9.5,14.0,-11.4,1.0,1.0,0.7,55.3,10.4,0.0
Abdou Harroui,-0.041,-0.011,-0.03,2.31,1998,21.0,Eredivisie,Sparta Rotterdam,Netherlands,RM,,13.9,12.0,30.2,-3.1,1.0,1.9,0.7,47.5,17.2,0.0
