player,team,rating,season
James Rodríguez,FC Bayern München,7.8,17-18
Marco Reus,Borussia Dortmund,7.43,17-18
Alexander Meier,Eintracht Frankfurt,7.4,17-18
Alexander Hack,1. FSV Mainz 05,7.4,17-18
Robert Lewandowski,FC Bayern München,7.38,17-18
Naldo,FC Schalke 04,7.38,17-18
Joshua Kimmich,FC Bayern München,7.38,17-18
Arturo Vidal,FC Bayern München,7.37,17-18
Thiago Alcântara,FC Bayern München,7.35,17-18
Thomas Müller,FC Bayern München,7.31,17-18
Jérôme Boateng,FC Bayern München,7.31,17-18
Daniel Caligiuri,FC Schalke 04,7.31,17-18
Philipp Max,FC Augsburg,7.29,17-18
Leon Bailey,Bayer 04 Leverkusen,7.29,17-18
Thomas Kraft,Hertha BSC,7.27,17-18
Serge Gnabry,TSG Hoffenheim,7.26,17-18
Mats Hummels,FC Bayern München,7.26,17-18
Tom Starke,FC Bayern München,7.25,17-18
Arjen Robben,FC Bayern München,7.25,17-18
Corentin Tolisso,FC Bayern München,7.23,17-18
Lars Bender,Bayer 04 Leverkusen,7.22,17-18
Max Kruse,SV Werder Bremen,7.21,17-18
Benjamin Hübner,TSG Hoffenheim,7.2,17-18
Maximilian Philipp,Borussia Dortmund,7.2,17-18
Salif Sané,Hannover 96,7.19,17-18
Andrej Kramarić,TSG Hoffenheim,7.18,17-18
Lars Stindl,Borussia M'gladbach,7.16,17-18
Jannik Vestergaard,Borussia M'gladbach,7.16,17-18
Niclas Füllkrug,Hannover 96,7.16,17-18
Thilo Kehrer,FC Schalke 04,7.15,17-18
Benjamin Pavard,VfB Stuttgart,7.15,17-18
Naby Keïta,RB Leipzig,7.14,17-18
Pierre-Emerick Aubameyang,Borussia Dortmund,7.14,17-18
Raffael,Borussia M'gladbach,7.14,17-18
Dominic Maroh,1. FC Köln,7.14,17-18
Bastian Oczipka,FC Schalke 04,7.14,17-18
Timo Baumgartl,VfB Stuttgart,7.13,17-18
Łukasz Piszczek,Borussia Dortmund,7.13,17-18
Franck Ribéry,FC Bayern München,7.12,17-18
Marcel Sabitzer,RB Leipzig,7.12,17-18
Ignacio Camacho,VfL Wolfsburg,7.12,17-18
Sven Bender,Bayer 04 Leverkusen,7.12,17-18
Marc Bartra,Borussia Dortmund,7.12,17-18
David Alaba,FC Bayern München,7.11,17-18
Pirmin Schwegler,Hannover 96,7.11,17-18
Thorgan Hazard,Borussia M'gladbach,7.11,17-18
Matthias Ginter,Borussia M'gladbach,7.11,17-18
Jetro Willems,Eintracht Frankfurt,7.1,17-18
Rafinha,FC Bayern München,7.1,17-18
Niklas Dorsch,FC Bayern München,7.1,17-18
Linton Maina,Hannover 96,7.1,17-18
Ömer Toprak,Borussia Dortmund,7.1,17-18
Nils Petersen,SC Freiburg,7.1,17-18
Javi Martínez,FC Bayern München,7.1,17-18
Lucas Alario,Bayer 04 Leverkusen,7.09,17-18
Kingsley Coman,FC Bayern München,7.09,17-18
Niklas Süle,FC Bayern München,7.09,17-18
Niklas Stark,Hertha BSC,7.09,17-18
Alfreð Finnbogason,FC Augsburg,7.09,17-18
Mark Uth,TSG Hoffenheim,7.08,17-18
Zlatko Junuzović,SV Werder Bremen,7.08,17-18
Sandro Wagner,FC Bayern München,7.08,17-18
Marcel Halstenberg,RB Leipzig,7.08,17-18
John Brooks,VfL Wolfsburg,7.08,17-18
Nuri Şahin,Borussia Dortmund,7.08,17-18
Aaron Hunt,Hamburger SV,7.06,17-18
Ademola Lookman,RB Leipzig,7.05,17-18
Thomas Delaney,SV Werder Bremen,7.05,17-18
David Abraham,Eintracht Frankfurt,7.05,17-18
Kevin Kampl,RB Leipzig,7.05,17-18
Robin Hack,TSG Hoffenheim,7.05,17-18
Lars Lukas Mai,FC Bayern München,7.05,17-18
Julian Brandt,Bayer 04 Leverkusen,7.05,17-18
Michael Gregoritsch,FC Augsburg,7.04,17-18
Lamine Sané,SV Werder Bremen,7.04,17-18
Timo Hübers,Hannover 96,7.04,17-18
Dayot Upamecano,RB Leipzig,7.04,17-18
Matija Nastasić,FC Schalke 04,7.03,17-18
Omar Mascarell,Eintracht Frankfurt,7.03,17-18
Shinji Kagawa,Borussia Dortmund,7.03,17-18
Charles Aránguiz,Bayer 04 Leverkusen,7.03,17-18
Jonas Hector,1. FC Köln,7.03,17-18
Marvin Plattenhardt,Hertha BSC,7.02,17-18
Martin Hinteregger,FC Augsburg,7.02,17-18
Jonathan Tah,Bayer 04 Leverkusen,7.02,17-18
Diego Demme,RB Leipzig,7.02,17-18
Florian Grillitsch,TSG Hoffenheim,7.02,17-18
Leon Goretzka,FC Schalke 04,7.02,17-18
Kai Havertz,Bayer 04 Leverkusen,7.01,17-18
Kevin Vogt,TSG Hoffenheim,7.01,17-18
Sokratis,Borussia Dortmund,7.01,17-18
Miloš Jojić,1. FC Köln,7.01,17-18
Daniel Didavi,VfL Wolfsburg,7.01,17-18
Jiří Pavlenka,SV Werder Bremen,7.01,17-18
Nicolas Höfler,SC Freiburg,7.0,17-18
Tobias Strobl,Borussia M'gladbach,7.0,17-18
Waldemar Anton,Hannover 96,7.0,17-18
Yevhen Konoplyanka,FC Schalke 04,7.0,17-18
Lewis Holtby,Hamburger SV,6.99,17-18
Felix Klaus,Hannover 96,6.99,17-18
Julian Baumgartlinger,Bayer 04 Leverkusen,6.99,17-18
Douglas Santos,Hamburger SV,6.99,17-18
Pascal Stenzel,SC Freiburg,6.99,17-18
Timo Werner,RB Leipzig,6.98,17-18
Sebastian Rudy,FC Bayern München,6.98,17-18
Felipe Trevizan,Hannover 96,6.98,17-18
Wendell,Bayer 04 Leverkusen,6.98,17-18
Raphael Framberger,FC Augsburg,6.98,17-18
Christian Günter,SC Freiburg,6.98,17-18
Marius Wolf,Eintracht Frankfurt,6.98,17-18
Benjamin Stambouli,FC Schalke 04,6.98,17-18
Ron-Robert Zieler,VfB Stuttgart,6.97,17-18
Kyriakos Papadopoulos,Hamburger SV,6.97,17-18
Ante Rebić,Eintracht Frankfurt,6.97,17-18
Niklas Moisander,SV Werder Bremen,6.97,17-18
Michy Batshuayi,Borussia Dortmund,6.97,17-18
Danny Latza,1. FSV Mainz 05,6.97,17-18
Erik Thommy,VfB Stuttgart,6.97,17-18
