player,team,rating,season
Lionel Messi,Barcelona,8.48,17-18
Cristiano Ronaldo,Real Madrid,7.9,17-18
Yoel Rodríguez,Eibar,7.9,17-18
Toni Kroos,Real Madrid,7.73,17-18
Javier Mascherano,Barcelona,7.7,17-18
Iago Aspas,Celta Vigo,7.6,17-18
Jasper Cillessen,Barcelona,7.6,17-18
Dani Parejo,Valencia,7.59,17-18
Gareth Bale,Real Madrid,7.52,17-18
Luis Suárez,Barcelona,7.51,17-18
Antoine Griezmann,Atlético Madrid,7.49,17-18
Philippe Coutinho,Barcelona,7.47,17-18
Filipe Luís,Atlético Madrid,7.45,17-18
Iván López,Levante UD,7.4,17-18
Casemiro,Real Madrid,7.35,17-18
Marc Bartra,Real Betis,7.34,17-18
Luka Modrić,Real Madrid,7.34,17-18
Asier Illarramendi,Real Sociedad,7.33,17-18
Sergio Ramos,Real Madrid,7.3,17-18
Jonathan Viera,Las Palmas,7.3,17-18
Gerard Moreno,Espanyol,7.26,17-18
Alex Granell,Girona FC,7.24,17-18
Lucas Hernández,Atlético Madrid,7.23,17-18
Sergio Canales,Real Sociedad,7.22,17-18
Isco,Real Madrid,7.22,17-18
Iker Muniain,Athletic Club,7.21,17-18
Marco Asensio,Real Madrid,7.21,17-18
Aymeric Laporte,Athletic Club,7.21,17-18
Jordi Alba,Barcelona,7.2,17-18
João Cancelo,Valencia,7.2,17-18
Axel Werner,Atlético Madrid,7.2,17-18
Francis Uzoho,Deportivo La Coruña,7.2,17-18
Ivan Rakitić,Barcelona,7.2,17-18
Éver Banega,Sevilla,7.2,17-18
Sergio Busquets,Barcelona,7.19,17-18
Pedro León,Eibar,7.19,17-18
Dani Giménez,Real Betis,7.18,17-18
Gerard Piqué,Barcelona,7.17,17-18
Rodri,Villarreal,7.17,17-18
Daniel Carvajal,Real Madrid,7.16,17-18
Borja García,Girona FC,7.16,17-18
Joaquín,Real Betis,7.15,17-18
Samuel Umtiti,Barcelona,7.15,17-18
Yerry Mina,Barcelona,7.14,17-18
Saúl Ñíguez,Atlético Madrid,7.14,17-18
Geoffrey Kondogbia,Valencia,7.14,17-18
Koke,Atlético Madrid,7.14,17-18
Marcelo,Real Madrid,7.14,17-18
Willian José,Real Sociedad,7.13,17-18
Thomas Partey,Atlético Madrid,7.13,17-18
José Ángel,Eibar,7.13,17-18
Rodrigo,Valencia,7.13,17-18
Lucas Pérez,Deportivo La Coruña,7.13,17-18
Fabián Ruiz,Real Betis,7.13,17-18
Sergi Roberto,Barcelona,7.12,17-18
Mario Gaspar,Villarreal,7.11,17-18
Diego Godín,Atlético Madrid,7.1,17-18
Manu Trigueros,Villarreal,7.09,17-18
Jeison Murillo,Valencia,7.09,17-18
José Luis Gayà,Valencia,7.09,17-18
Munir El Haddadi,Deportivo Alavés,7.08,17-18
Jan Oblak,Atlético Madrid,7.08,17-18
Šime Vrsaljko,Atlético Madrid,7.08,17-18
Jaume Doménech,Valencia,7.08,17-18
Carlos Bacca,Villarreal,7.08,17-18
Unai Núñez,Athletic Club,7.06,17-18
Iván Ramis,Eibar,7.06,17-18
Andrés Guardado,Real Betis,7.06,17-18
Andrés Iniesta,Barcelona,7.06,17-18
Diego Rico,Leganés,7.06,17-18
José María Giménez,Atlético Madrid,7.06,17-18
Aritz Elustondo,Real Sociedad,7.05,17-18
Daniel Wass,Celta Vigo,7.05,17-18
Cristhian Stuani,Girona FC,7.05,17-18
Gonçalo Guedes,Valencia,7.04,17-18
Héctor Moreno,Real Sociedad,7.04,17-18
Marc-André ter Stegen,Barcelona,7.03,17-18
Junior Firpo,Real Betis,7.03,17-18
José Campaña,Levante UD,7.03,17-18
Karim Benzema,Real Madrid,7.03,17-18
Rubén Pérez,Leganés,7.02,17-18
Gabriel Paulista,Valencia,7.02,17-18
Djené,Getafe,7.02,17-18
Pione Sisto,Celta Vigo,7.01,17-18
Raúl García,Athletic Club,7.01,17-18
Roberto Rosales,Málaga,7.01,17-18
Maximiliano Gómez,Celta Vigo,7.01,17-18
Xabi Prieto,Real Sociedad,7.01,17-18
Cédric Bakambu,Villarreal,7.01,17-18
Mikel Oyarzabal,Real Sociedad,7.01,17-18
Ermedin Demirović,Deportivo Alavés,7.0,17-18
Juan Cruz,Málaga,7.0,17-18
Borja Lasso,Sevilla,7.0,17-18
Aythami Artiles,Las Palmas,7.0,17-18
Nicolás Pareja,Sevilla,7.0,17-18
Pablo Fornals,Villarreal,7.0,17-18
Anaitz Arbilla,Eibar,7.0,17-18
Sidnei,Deportivo La Coruña,7.0,17-18
Oghenekaro Etebo,Las Palmas,6.99,17-18
Diego Llorente,Real Sociedad,6.99,17-18
Raphaël Varane,Real Madrid,6.99,17-18
Aïssa Mandi,Real Betis,6.99,17-18
Stefan Savić,Atlético Madrid,6.99,17-18
Achraf Hakimi,Real Madrid,6.99,17-18
Martín Montoya,Valencia,6.99,17-18
Zouhair Feddal,Real Betis,6.99,17-18
Iñigo Martínez,Athletic Club,6.99,17-18
Hugo Mallo,Celta Vigo,6.99,17-18
Víctor Ruiz,Villarreal,6.99,17-18
Beñat Etxebarria,Athletic Club,6.98,17-18
Simon Kjær,Sevilla,6.97,17-18
Loren Morón,Real Betis,6.97,17-18
Nacho Fernández,Real Madrid,6.97,17-18
Vicente Guaita,Getafe,6.97,17-18
Lucas Vázquez,Real Madrid,6.97,17-18
Ganso,Sevilla,6.97,17-18
Alberto de la Bella,Real Sociedad,6.97,17-18
Jefferson Lerma,Levante UD,6.97,17-18
Fayçal Fajr,Getafe,6.97,17-18
Keylor Navas,Real Madrid,6.97,17-18
Raúl Navas,Real Sociedad,6.97,17-18
Alexander Szymanowski,Leganés,6.96,17-18
Marc Muniesa,Girona FC,6.96,17-18
Luisinho,Deportivo La Coruña,6.96,17-18
Víctor Laguardia,Deportivo Alavés,6.96,17-18
Carlos Vela,Real Sociedad,6.96,17-18
Santi Mina,Valencia,6.96,17-18
Samu Castillejo,Villarreal,6.96,17-18
