player,team,rating,season
Neymar,Paris Saint-Germain,8.84,17-18
Dimitri Payet,Olympique de Marseille,7.74,17-18
Florian Thauvin,Olympique de Marseille,7.69,17-18
Nabil Fekir,Olympique Lyonnais,7.63,17-18
Malcom,Bordeaux,7.57,17-18
Edinson Cavani,Paris Saint-Germain,7.56,17-18
Adama Traoré,AS Monaco,7.53,17-18
David Alcibiade,Nantes,7.53,17-18
Ángel Di María,Paris Saint-Germain,7.49,17-18
Dani Alves,Paris Saint-Germain,7.47,17-18
Memphis Depay,Olympique Lyonnais,7.45,17-18
Mario Balotelli,Nice,7.44,17-18
Kylian Mbappé,Paris Saint-Germain,7.39,17-18
Naïm Sliti,Dijon,7.35,17-18
Fabinho,AS Monaco,7.34,17-18
Marco Verratti,Paris Saint-Germain,7.32,17-18
Enock Kwateng,Nantes,7.3,17-18
Jean-Christophe Bouet,Amiens SC,7.3,17-18
Dimitri Liénard,RC Strasbourg,7.29,17-18
Mathieu Debuchy,Saint-Étienne,7.27,17-18
Bertrand Traoré,Olympique Lyonnais,7.27,17-18
Seydou Sy,AS Monaco,7.27,17-18
Thiago Silva,Paris Saint-Germain,7.25,17-18
Rémy Cabella,Saint-Étienne,7.23,17-18
Alassane Pléa,Nice,7.23,17-18
Nordi Mukiele,Montpellier,7.23,17-18
Benjamin Bourigeaud,Stade Rennais,7.22,17-18
Ronny Rodelin,Caen,7.22,17-18
Léo Dubois,Nantes,7.21,17-18
Anthony Walongwa,Nantes,7.2,17-18
Tanguy Ndombélé,Olympique Lyonnais,7.19,17-18
Wesley Sneijder,Nice,7.18,17-18
Marcelo,Olympique Lyonnais,7.18,17-18
João Moutinho,AS Monaco,7.17,17-18
Radamel Falcao,AS Monaco,7.17,17-18
Luiz Gustavo,Olympique de Marseille,7.17,17-18
Terence Kongolo,AS Monaco,7.17,17-18
Júlio Tavares,Dijon,7.17,17-18
Giovani Lo Celso,Paris Saint-Germain,7.15,17-18
Jean Michaël Seri,Nice,7.15,17-18
Houssem Aouar,Olympique Lyonnais,7.15,17-18
Marquinhos,Paris Saint-Germain,7.14,17-18
Diego Carlos,Nantes,7.14,17-18
Ellyes Skhiri,Montpellier,7.13,17-18
Loïc Perrin,Saint-Étienne,7.13,17-18
Javier Pastore,Paris Saint-Germain,7.12,17-18
Yuri Berchiche,Paris Saint-Germain,7.11,17-18
Neven Subotić,Saint-Étienne,7.11,17-18
Wahbi Khazri,Stade Rennais,7.1,17-18
