player,team,rating,season
Philippe Coutinho,Liverpool,8.01,17-18
Kevin De Bruyne,Manchester City,7.79,17-18
Eden Hazard,Chelsea,7.79,17-18
Jérémy Pied,Southampton,7.7,17-18
Sergio Agüero,Manchester City,7.63,17-18
Mohamed Salah,Liverpool,7.62,17-18
Alexis Sánchez,Manchester United,7.58,17-18
Mesut Özil,Arsenal,7.57,17-18
David Silva,Manchester City,7.56,17-18
Harry Kane,Tottenham Hotspur,7.53,17-18
Leroy Sané,Manchester City,7.44,17-18
Christian Eriksen,Tottenham Hotspur,7.43,17-18
Sergio Romero,Manchester United,7.4,17-18
Paul Pogba,Manchester United,7.4,17-18
Raheem Sterling,Manchester City,7.38,17-18
Aaron Wan-Bissaka,Crystal Palace,7.37,17-18
Pierre-Emerick Aubameyang,Arsenal,7.35,17-18
Cesc Fàbregas,Chelsea,7.35,17-18
Roberto Firmino,Liverpool,7.31,17-18
Fernandinho,Manchester City,7.31,17-18
César Azpilicueta,Chelsea,7.31,17-18
Yohan Benalouane,Leicester City,7.3,17-18
Jesús Gámez,Newcastle United,7.3,17-18
Aaron Ramsey,Arsenal,7.28,17-18
Sadio Mané,Liverpool,7.27,17-18
Willian,Chelsea,7.26,17-18
Kieran Trippier,Tottenham Hotspur,7.25,17-18
Ben Davies,Tottenham Hotspur,7.25,17-18
Xherdan Shaqiri,Stoke City,7.24,17-18
Serge Aurier,Tottenham Hotspur,7.23,17-18
Emre Can,Liverpool,7.22,17-18
Jan Vertonghen,Tottenham Hotspur,7.22,17-18
Granit Xhaka,Arsenal,7.21,17-18
Phil Jones,Manchester United,7.21,17-18
Laurent Koscielny,Arsenal,7.21,17-18
Nicolás Otamendi,Manchester City,7.2,17-18
Paulo Gazzaniga,Tottenham Hotspur,7.2,17-18
Virgil van Dijk,Liverpool,7.19,17-18
Oleksandr Zinchenko,Manchester City,7.19,17-18
Marko Arnautović,West Ham United,7.19,17-18
Chris Smalling,Manchester United,7.18,17-18
Romelu Lukaku,Manchester United,7.18,17-18
Pascal Groß,Brighton &amp; Hove Albion,7.18,17-18
Vincent Kompany,Manchester City,7.18,17-18
Robbie Brady,Burnley,7.17,17-18
James Tomkins,Crystal Palace,7.17,17-18
Manuel Lanzini,West Ham United,7.17,17-18
Ben Mee,Burnley,7.16,17-18
Andros Townsend,Crystal Palace,7.16,17-18
Wilfried Zaha,Crystal Palace,7.16,17-18
Junior Stanislas,Bournemouth,7.15,17-18
Chris Brunt,West Bromwich Albion,7.15,17-18
N'Golo Kanté,Chelsea,7.14,17-18
James Tarkowski,Burnley,7.13,17-18
Andrew Robertson,Liverpool,7.13,17-18
Henrikh Mkhitaryan,Arsenal,7.12,17-18
Christopher Schindler,Huddersfield Town,7.11,17-18
Marcos Alonso,Chelsea,7.11,17-18
Nemanja Matić,Manchester United,7.11,17-18
Fabian Delph,Manchester City,7.1,17-18
Alex Iwobi,Arsenal,7.1,17-18
Alexandre Lacazette,Arsenal,7.1,17-18
Shane Duffy,Brighton &amp; Hove Albion,7.1,17-18
Lewis Dunk,Brighton &amp; Hove Albion,7.1,17-18
Danilo,Manchester City,7.1,17-18
Sullay Kaikai,Crystal Palace,7.1,17-18
Juan Mata,Manchester United,7.09,17-18
Aymeric Laporte,Manchester City,7.09,17-18
Shkodran Mustafi,Arsenal,7.08,17-18
Daley Blind,Manchester United,7.08,17-18
Antonio Valencia,Manchester United,7.08,17-18
Riyad Mahrez,Leicester City,7.08,17-18
Kurt Zouma,Stoke City,7.07,17-18
Kevin Long,Burnley,7.07,17-18
Nacho Monreal,Arsenal,7.07,17-18
Ashley Young,Manchester United,7.07,17-18
Dejan Lovren,Liverpool,7.07,17-18
Alex Oxlade-Chamberlain,Liverpool,7.06,17-18
Eric Bailly,Manchester United,7.06,17-18
Andreas Christensen,Chelsea,7.06,17-18
Joël Matip,Liverpool,7.05,17-18
Trent Alexander-Arnold,Liverpool,7.05,17-18
José Fonte,West Ham United,7.05,17-18
Jamie Vardy,Leicester City,7.05,17-18
Jóhann Guðmundsson,Burnley,7.05,17-18
Jordan Henderson,Liverpool,7.04,17-18
Kyle Walker,Manchester City,7.04,17-18
Gabriel Jesus,Manchester City,7.04,17-18
Terence Kongolo,Huddersfield Town,7.04,17-18
Harry Maguire,Leicester City,7.03,17-18
João Mário,West Ham United,7.03,17-18
Alberto Moreno,Liverpool,7.03,17-18
Luke Shaw,Manchester United,7.03,17-18
Jonjo Shelvey,Newcastle United,7.03,17-18
Aaron Mooy,Huddersfield Town,7.02,17-18
Abdoulaye Doucouré,Watford,7.02,17-18
Álvaro Morata,Chelsea,7.02,17-18
Ryan Fraser,Bournemouth,7.02,17-18
James Milner,Liverpool,7.02,17-18
Eric Dier,Tottenham Hotspur,7.01,17-18
Jamaal Lascelles,Newcastle United,7.01,17-18
Steve Cook,Bournemouth,7.01,17-18
Luka Milivojević,Crystal Palace,7.01,17-18
Pedro,Chelsea,7.0,17-18
Davinson Sánchez,Tottenham Hotspur,7.0,17-18
Jesse Lingard,Manchester United,7.0,17-18
Idrissa Gueye,Everton,7.0,17-18
Dušan Tadić,Southampton,7.0,17-18
Kyle Walker-Peters,Tottenham Hotspur,7.0,17-18
Callum Hudson-Odoi,Chelsea,7.0,17-18
David Ospina,Arsenal,7.0,17-18
John Stones,Manchester City,7.0,17-18
Joe Gomez,Liverpool,7.0,17-18
Cenk Tosun,Everton,6.99,17-18
Jack Butland,Stoke City,6.99,17-18
Antonio Rüdiger,Chelsea,6.99,17-18
Ragnar Klavan,Liverpool,6.99,17-18
Florian Lejeune,Newcastle United,6.98,17-18
Ahmed Hegazy,West Bromwich Albion,6.98,17-18
David De Gea,Manchester United,6.98,17-18
Matthew Lowton,Burnley,6.98,17-18
Mario Lemina,Southampton,6.98,17-18
Patrick van Aanholt,Crystal Palace,6.97,17-18
Ryan Shawcross,Stoke City,6.97,17-18
Dele Alli,Tottenham Hotspur,6.97,17-18
Wesley Hoedt,Southampton,6.96,17-18
Steven Davis,Southampton,6.96,17-18
Nick Pope,Burnley,6.96,17-18
Sung-Yueng Ki,Swansea City,6.96,17-18
Heung-min Son,Tottenham Hotspur,6.96,17-18
Adrián,West Ham United,6.95,17-18
Anthony Martial,Manchester United,6.95,17-18
Leighton Baines,Everton,6.95,17-18
James Collins,West Ham United,6.95,17-18
Matt Targett,Southampton,6.95,17-18
Younès Kaboul,Watford,6.95,17-18
Alexander Sørloth,Crystal Palace,6.95,17-18
Bernardo Silva,Manchester City,6.95,17-18
Alfie Mawson,Swansea City,6.95,17-18
Mamadou Sakho,Crystal Palace,6.95,17-18
Maya Yoshida,Southampton,6.95,17-18
Yaya Touré,Manchester City,6.94,17-18
James Ward-Prowse,Southampton,6.94,17-18
David Luiz,Chelsea,6.94,17-18
İlkay Gündoğan,Manchester City,6.94,17-18
Theo Walcott,Everton,6.94,17-18
Nathan Aké,Bournemouth,6.94,17-18
Victor Moses,Chelsea,6.94,17-18
Toby Alderweireld,Tottenham Hotspur,6.94,17-18
Eric Maxim Choupo-Moting,Stoke City,6.93,17-18
Will Hughes,Watford,6.93,17-18
Daniel Sturridge,West Bromwich Albion,6.93,17-18
Steve Mounié,Huddersfield Town,6.93,17-18
Marouane Fellaini,Manchester United,6.93,17-18
Chris Wood,Burnley,6.93,17-18
Andrew Surman,Bournemouth,6.92,17-18
Badou Ndiaye,Stoke City,6.92,17-18
Matt Ritchie,Newcastle United,6.92,17-18
Gylfi Sigurðsson,Everton,6.92,17-18
Kyle Bartley,Swansea City,6.92,17-18
Cuco Martina,Everton,6.92,17-18
Javier Hernández,West Ham United,6.92,17-18
Ruben Loftus-Cheek,Crystal Palace,6.92,17-18
Federico Fernández,Swansea City,6.92,17-18
Oriol Romeu,Southampton,6.91,17-18
Gerard Deulofeu,Watford,6.91,17-18
Benjamin Mendy,Manchester City,6.91,17-18
Craig Cathcart,Watford,6.91,17-18
Ederson,Manchester City,6.91,17-18
Hugo Lloris,Tottenham Hotspur,6.91,17-18
Steven Defour,Burnley,6.91,17-18
Craig Dawson,West Bromwich Albion,6.91,17-18
Łukasz Fabiański,Swansea City,6.91,17-18
Simon Francis,Bournemouth,6.9,17-18
Anthony Knockaert,Brighton &amp; Hove Albion,6.9,17-18
Kenedy,Newcastle United,6.9,17-18
Pedro Obiang,West Ham United,6.9,17-18
Christian Kabasele,Watford,6.9,17-18
Mike van der Hoorn,Swansea City,6.9,17-18
Charly Musonda Jr,Chelsea,6.9,17-18
Séamus Coleman,Everton,6.9,17-18
Dodi Lukebakio,Watford,6.9,17-18
Bojan Krkic,Stoke City,6.9,17-18
Tom Carroll,Swansea City,6.89,17-18
Victor Lindelöf,Manchester United,6.89,17-18
Stephen Ward,Burnley,6.89,17-18
Yohan Cabaye,Crystal Palace,6.89,17-18
Michael Keane,Everton,6.89,17-18
Vicente Iborra,Leicester City,6.89,17-18
Kiko Femenía,Watford,6.89,17-18
Mark Noble,West Ham United,6.89,17-18
Marcus Rashford,Manchester United,6.89,17-18
Jack Wilshere,Arsenal,6.89,17-18
Wayne Rooney,Everton,6.88,17-18
Nathaniel Chalobah,Watford,6.88,17-18
Phil Jagielka,Everton,6.88,17-18
Alex Pritchard,Huddersfield Town,6.88,17-18
Peter Crouch,Stoke City,6.88,17-18
José Holebas,Watford,6.88,17-18
Joshua King,Bournemouth,6.87,17-18
Olivier Giroud,Chelsea,6.87,17-18
Joel Ward,Crystal Palace,6.87,17-18
Mikel Merino,Newcastle United,6.87,17-18
Wilfred Ndidi,Leicester City,6.87,17-18
Mason Holgate,Everton,6.86,17-18
Loris Karius,Liverpool,6.86,17-18
Phil Bardsley,Burnley,6.86,17-18
Gary Cahill,Chelsea,6.86,17-18
Aaron Cresswell,West Ham United,6.86,17-18
Salomón Rondón,West Bromwich Albion,6.86,17-18
Oumar Niasse,Everton,6.85,17-18
Mohamed Elneny,Arsenal,6.85,17-18
Nathan Redmond,Southampton,6.85,17-18
Paul Dummett,Newcastle United,6.85,17-18
Bruno Saltor,Brighton &amp; Hove Albion,6.85,17-18
Thibaut Courtois,Chelsea,6.85,17-18
Martin Dúbravka,Newcastle United,6.85,17-18
Sead Kolašinac,Arsenal,6.85,17-18
Petr Čech,Arsenal,6.85,17-18
Marc Albrighton,Leicester City,6.84,17-18
Ashley Barnes,Burnley,6.84,17-18
Dale Stephens,Brighton &amp; Hove Albion,6.84,17-18
Angelo Ogbonna,West Ham United,6.84,17-18
Ashley Williams,Everton,6.84,17-18
Calum Chambers,Arsenal,6.84,17-18
Erik Pieters,Stoke City,6.84,17-18
Claudio Bravo,Manchester City,6.83,17-18
Robert Elliot,Newcastle United,6.83,17-18
Ayoze Pérez,Newcastle United,6.83,17-18
Kelechi Iheanacho,Leicester City,6.83,17-18
Jonny Evans,West Bromwich Albion,6.83,17-18
Christian Fuchs,Leicester City,6.83,17-18
Ryan Bertrand,Southampton,6.83,17-18
Mousa Dembélé,Tottenham Hotspur,6.83,17-18
Georginio Wijnaldum,Liverpool,6.83,17-18
Aleksandar Dragović,Leicester City,6.83,17-18
Jonathan Hogg,Huddersfield Town,6.83,17-18
Tom Cleverley,Watford,6.83,17-18
Christian Benteke,Crystal Palace,6.83,17-18
Charlie Daniels,Bournemouth,6.83,17-18
Ciaran Clark,Newcastle United,6.83,17-18
Connor Roberts,Swansea City,6.83,17-18
Jack Stephens,Southampton,6.82,17-18
Tiemoué Bakayoko,Chelsea,6.82,17-18
Andy Carroll,West Ham United,6.82,17-18
Victor Wanyama,Tottenham Hotspur,6.82,17-18
Daryl Janmaat,Watford,6.82,17-18
Leroy Fer,Swansea City,6.81,17-18
Jordon Ibe,Bournemouth,6.81,17-18
Sam Vokes,Burnley,6.81,17-18
Glenn Murray,Brighton &amp; Hove Albion,6.8,17-18
Richarlison,Watford,6.8,17-18
André Carrillo,Watford,6.8,17-18
Henri Saivet,Newcastle United,6.8,17-18
Lewis Cook,Bournemouth,6.8,17-18
Lasse Sørensen,Stoke City,6.8,17-18
Danny Rose,Tottenham Hotspur,6.8,17-18
Reece Oxford,West Ham United,6.8,17-18
Michael Carrick,Manchester United,6.8,17-18
Muhamed Bešić,Everton,6.8,17-18
Eldin Jakupović,Leicester City,6.8,17-18
Reiss Nelson,Arsenal,6.8,17-18
Konstantinos Stafylidis,Stoke City,6.8,17-18
Chancel Mbemba,Newcastle United,6.8,17-18
Mathew Ryan,Brighton &amp; Hove Albion,6.8,17-18
Joselu,Newcastle United,6.8,17-18
Michail Antonio,West Ham United,6.8,17-18
Cédric Soares,Southampton,6.79,17-18
Danny Welbeck,Arsenal,6.79,17-18
Héctor Bellerín,Arsenal,6.79,17-18
Étienne Capoue,Watford,6.79,17-18
Dominic Calvert-Lewin,Everton,6.79,17-18
Wayne Hennessey,Crystal Palace,6.79,17-18
Scott Dann,Crystal Palace,6.79,17-18
Charlie Austin,Southampton,6.79,17-18
Erik Lamela,Tottenham Hotspur,6.79,17-18
Jordan Pickford,Everton,6.79,17-18
Harry Winks,Tottenham Hotspur,6.79,17-18
Troy Deeney,Watford,6.79,17-18
Joe Allen,Stoke City,6.79,17-18
Guido Carrillo,Southampton,6.79,17-18
Per Mertesacker,Arsenal,6.78,17-18
Dwight Gayle,Newcastle United,6.78,17-18
Allan Nyom,West Bromwich Albion,6.78,17-18
Callum Wilson,Bournemouth,6.78,17-18
Kieran Gibbs,West Bromwich Albion,6.78,17-18
José Izquierdo,Brighton &amp; Hove Albion,6.78,17-18
Harry Arter,Bournemouth,6.78,17-18
Zanka,Huddersfield Town,6.78,17-18
Sam Byram,West Ham United,6.78,17-18
Grzegorz Krychowiak,West Bromwich Albion,6.77,17-18
Jonjoe Kenny,Everton,6.77,17-18
Mohamed Diamé,Newcastle United,6.77,17-18
Dominic Solanke,Liverpool,6.77,17-18
Arthur Masuaku,West Ham United,6.77,17-18
Kyle Naughton,Swansea City,6.77,17-18
Shane Long,Southampton,6.77,17-18
Tom Edwards,Stoke City,6.77,17-18
Rob Holding,Arsenal,6.77,17-18
Fraser Forster,Southampton,6.77,17-18
Ben Chilwell,Leicester City,6.76,17-18
Wilfried Bony,Swansea City,6.76,17-18
Emerson Palmieri,Chelsea,6.76,17-18
Jack Cork,Burnley,6.76,17-18
Mame Biram Diouf,Stoke City,6.76,17-18
Winston Reid,West Ham United,6.75,17-18
Adam Smith,Bournemouth,6.75,17-18
DeAndre Yedlin,Newcastle United,6.75,17-18
Karl Darlow,Newcastle United,6.75,17-18
Kasper Schmeichel,Leicester City,6.75,17-18
Ander Herrera,Manchester United,6.75,17-18
Jordan Ayew,Swansea City,6.75,17-18
Gareth Barry,West Bromwich Albion,6.74,17-18
Asmir Begović,Bournemouth,6.74,17-18
Sam Clucas,Swansea City,6.74,17-18
Timothy Fosu-Mensah,Crystal Palace,6.74,17-18
Jesé Rodríguez,Stoke City,6.74,17-18
Pablo Zabaleta,West Ham United,6.74,17-18
Charlie Taylor,Burnley,6.74,17-18
André Ayew,Swansea City,6.73,17-18
Andy King,Swansea City,6.73,17-18
Heurelho Gomes,Watford,6.73,17-18
Bakary Sako,Crystal Palace,6.73,17-18
