player,team,rating,season
Luis Alberto,Lazio,7.86,17-18
Papu Gómez,Atalanta,7.83,17-18
Lorenzo Insigne,Napoli,7.72,17-18
Paulo Dybala,Juventus,7.72,17-18
Marco Silvestri,Hellas Verona,7.7,17-18
Faouzi Ghoulam,Napoli,7.65,17-18
Suso,Milan,7.56,17-18
Josip Iličić,Atalanta,7.55,17-18
Miralem Pjanić,Juventus,7.51,17-18
Ciro Immobile,Lazio,7.5,17-18
Dejan Boldor,Hellas Verona,7.5,17-18
Hakan Çalhanoğlu,Milan,7.49,17-18
Aleksandar Kolarov,Roma,7.49,17-18
Simone Verdi,Bologna,7.47,17-18
Douglas Costa,Juventus,7.46,17-18
Edin Džeko,Roma,7.42,17-18
Łukasz Skorupski,Roma,7.4,17-18
Adem Ljajić,Torino,7.38,17-18
Federico Viviani,SPAL,7.36,17-18
Mauro Icardi,Inter,7.34,17-18
José Callejón,Napoli,7.33,17-18
Marcelo Brozović,Inter,7.33,17-18
Mattia De Sciglio,Juventus,7.33,17-18
Alex Sandro,Juventus,7.32,17-18
Raúl Albiol,Napoli,7.32,17-18
Ivan Perišić,Inter,7.31,17-18
Fabio Quagliarella,Sampdoria,7.3,17-18
Elio Capradossi,Roma,7.3,17-18
Juan Cuadrado,Juventus,7.3,17-18
Dries Mertens,Napoli,7.29,17-18
Medhi Benatia,Juventus,7.29,17-18
Radja Nainggolan,Roma,7.29,17-18
Giorgio Chiellini,Juventus,7.26,17-18
Lucas Torreira,Sampdoria,7.24,17-18
Felipe Anderson,Lazio,7.24,17-18
Antonio Candreva,Inter,7.24,17-18
Federico Fazio,Roma,7.23,17-18
Matteo Politano,Sassuolo,7.23,17-18
Milan Škriniar,Inter,7.21,17-18
Iago Falque,Torino,7.2,17-18
Antonio Santurro,Bologna,7.2,17-18
Cristián Zapata,Milan,7.2,17-18
Rafinha Alcântara,Inter,7.18,17-18
Diego Perotti,Roma,7.18,17-18
Sergej Milinković-Savić,Lazio,7.17,17-18
Cristiano Biraghi,Fiorentina,7.17,17-18
Giacomo Bonaventura,Milan,7.16,17-18
Davide Calabria,Milan,7.16,17-18
Marek Hamšík,Napoli,7.15,17-18
Luca Ceppitelli,Cagliari,7.15,17-18
Amato Ciciretti,Benevento,7.15,17-18
Milan Badelj,Fiorentina,7.14,17-18
Gonzalo Higuaín,Juventus,7.14,17-18
Davide Astori,Fiorentina,7.14,17-18
