,player_id,player_name,team_name,vaep_value,offensive_value,defensive_value,count,minutes_played,vaep_rating,offensive_rating,defensive_rating
0,2943.0,Christian Maggio,Benevento,0.7988407,0.4442274,0.35461327,346,329,0.21852784316228155,0.12152117001611773,0.0970066731461638
1,2987.0,Pepe Reina,Lazio,11.552263,1.052632,10.499631,2656,2779,0.37412872808620456,0.034090276157396994,0.340038429965815
2,3281.0,Zlatan Ibrahimovic,AC Milan,21.008894,19.844564,1.1643292,1582,1584,1.193687130706479,1.1275320342092803,0.06615506759797683
3,3283.0,Joaquín,Real Betis,3.4786658,3.0158699,0.46279615,1906,1371,0.22835880783158963,0.1979783250849061,0.03038049109394232
4,3328.0,Gianluigi Buffon,Juventus,3.3775978,0.22063366,3.156964,663,758,0.4010340305620259,0.026196608128207968,0.3748374274664001
5,4511.0,James Milner,Liverpool,3.6537354,2.534691,1.1190442,2300,1191,0.27610090817852645,0.19153836472108524,0.08456253064569558
6,5423.0,Rune Jarstein,Hertha Berlin,3.4456522,0.2049757,3.2406766,612,765,0.4053708543964461,0.02411478827981388,0.381256063623366
7,5583.0,Cristiano Ronaldo,Juventus,34.59651,33.83961,0.75689983,3255,2973,1.0473212361776825,1.0244079856731416,0.02291321457735505
8,6093.0,Goran Pandev,Genoa,10.068834,9.636417,0.43241602,1270,1485,0.6102323692655723,0.5840253117108586,0.02620703186651673
9,6105.0,Phil Jagielka,Sheff Utd,0.72852796,0.25531194,0.47321603,572,570,0.11503073709052905,0.0403124123288874,0.07471832141541598
10,6683.0,Dante,Nice,4.0176864,3.5401096,0.47757676,1757,829,0.4361782465107622,0.38433035377714114,0.05184789733518594
11,6743.0,Hilton,Montpellier,5.9772353,2.5756912,3.4015443,2877,2271,0.23687854331792163,0.10207494939806597,0.13480360063882926
12,6890.0,Jimmy Briand,Bordeaux,0.8517733,1.2705896,-0.4188162,507,653,0.11739601731117798,0.17511954899038693,-0.057723519995603226
13,8013.0,Klaas Jan Huntelaar,Schalke,2.5391884,2.8672934,-0.32810518,376,616,0.3709853036063058,0.41892272156554383,-0.047937445826344675
14,8040.0,Cesc Fàbregas,Monaco,5.244121,4.671775,0.5723462,1886,935,0.5047816965031752,0.4496895693202707,0.05509214758235503
17,8166.0,Ashley Young,Inter,2.1957228,1.9068907,0.28883207,1617,1500,0.13174336751302082,0.11441344197591145,0.01732992426554362
18,8247.0,Mark Noble,West Ham,1.5639715,1.0296524,0.53431916,1044,793,0.17749991302682652,0.11685839697511921,0.06064152086217046
20,9016.0,Franck Ribéry,Fiorentina,7.2131844,6.954492,0.25869173,2659,2226,0.29163817810990844,0.2811789294137466,0.010459234129707768
21,9446.0,Jesús Navas,Sevilla,4.3758416,1.282873,3.0929687,4907,2995,0.13149440555222244,0.038550441531784746,0.09294396911519198
22,9730.0,Fabio Quagliarella,Sampdoria,17.442905,16.9516,0.49130633,1593,2303,0.6816593357339611,0.6624593664344062,0.019199987519993453
23,9767.0,Robert Snodgrass,WBA,1.4241933,0.74045473,0.68373847,432,571,0.22447880679796958,0.1167091463159137,0.10776963375913283
24,9767.0,Robert Snodgrass,West Ham,-0.006586208,-0.0071647633,0.00057855516,9,571,-0.001038106331265745,-0.0011292971579289477,9.11908331873538e-05
25,9907.0,Rubén Martínez,Osasuna,0.59147406,0.057450738,0.53402334,113,197,0.27021657875951777,0.026246530755522288,0.24397004800399547
26,9909.0,Sergio Ramos,Real Madrid,4.4197197,3.1271138,1.2926059,2867,1360,0.2924814560834099,0.20694135778090533,0.08554009269265568
27,9972.0,Samir Handanovic,Inter,11.393988,0.7646771,10.629311,2415,3438,0.29827192039112493,0.020017724872120873,0.27825419995727896
28,9991.0,Giorgio Chiellini,Juventus,2.1248868,2.2313452,-0.10645823,2797,1475,0.12965410652807202,0.13614987130892478,-0.006495756375587592
29,10067.0,Pedro López,SD Huesca,1.9503276,0.5148079,1.4355198,1521,1149,0.1527671714364393,0.04032437795136056,0.1124428001251088
30,10088.0,Oscar Wendt,Borussia M.Gladbach,2.8320408,0.9963885,1.8356522,1607,1312,0.19427108764648438,0.06834982081157405,0.12592126101982304
32,10194.0,Hatem Ben Arfa,Bordeaux,5.068916,4.8593287,0.20958741,2536,1782,0.2560058490997212,0.24542065073477834,0.010585222982798362
34,10447.0,Jota,Deportivo Alaves,3.2195964,2.3006282,0.9189682,1437,1482,0.19552204579959515,0.13971426033298015,0.055807785466615
35,10454.0,Djibril Sidibé,Monaco,3.7599707,1.9132948,1.8466759,4283,2122,0.15947095635474345,0.08114822488365929,0.07832273147108418
